Nombre,Costo (USD),Cantidad,Ganancia (%),IVA (%)
"SUPER CONO TRIPLE CHOCOLATE",1.2,0,0,0
"SUPER CONO AREQUIPE",1.2,3,0,0
"PALETA DRAC",0.8,-1,0,0
"PALETA FRES",0.4,10,0,0
"PALETA PAW PATROL",0.5,8,0,0
"RECOLECTOR DE ORINA",0.26,4,0,0
"LECHE RIKA",2.48,10,0,0
"SALSA INGLESA",1.44,2,0,0
"ACEITE VALE 1L",4.21,5,0,0
"ACEITE VATEL 500",2.81,5,0,0
"COCACOLA 350 BOTELLA",0.47,24,0,0
"CHOCO CRUNCH",1.15,10,0,0
"AFEITADORA",0.37,4,0,0
"GALLETA CLUB SOCIAL",0.37,8,0,0
"ATÚN",1.33,1,0,0
"AZÚCAR MONTALBÁN",1.8,4,0,0
"SUAVITEL",0.94,7,0,0
"VATEL 1L",5.13,5,0,0
"VATEL PEQ VASITO",0.91,4,0,0
"MAYONESA MAVESA",1.98,10,0,0
"ATÚN DIPLOMATICO",1.4,10,0,0
"CAFÉ FAVORITO 50",0.77,8,0,0
"PAÑAL XG BABY FINGER",0.41,15,0,0
"HISOPO PEQUEÑO",0.46,2,0,0
"AVENA VICONE",0.81,2,0,0
"LECHE DON MIGUEL",1.37,2,0,0
"DETERGENTE OSO BLANCO 200",0.56,1,0,0
"HARINA PAN",1.36,10,0,0
"LECHE SUR",1.81,2,0,0
"GALLETA NINI WORL",0.5,2,0,0
"NUTRI TONY",1.1,10,0,0
"CREMA DE ARROZ TONY",1.1,10,0,0
"MAIZINA PEQUEÑA",0.79,2,0,0
"JUGO JUCOSA",0.65,2,0,0
"JUGO ÚNICA PERA",0.6,2,0,0
"CAFÉ ANZOATEGUI",1.31,2,0,0
"JABÓN ANITA",0.82,2,0,0
"VAINILLA",0.85,1,0,0
"JABÓN 3N",0.6,4,0,0
"MAYONESA KRAFT",1.98,10,0,0
"HARINA PAN ARROZ",1.33,2,0,0
"JUGO DINO",0.61,23,0,0
"SUN 400",0.4,79,0,0
"FRECOLITA 2L",1.42,6,0,0
"JUGO DEL VALLE",1.13,6,0,0
"JUGO DEL VALLE 400",0.69,10,0,0
"PAPEL ROSAL",0.39,6,0,0
"ATÚN PEÑERO",1.23,2,0,0
"CREMA DE ARROZ SANTONI",0.83,0,0,0
"FORORO",0.57,2,0,0
"CAFÉ DELLA NONNA",1.45,5,0,0
"LECHE CALY 200",2.82,2,0,0
"AVENA QUAKER",1.13,2,0,0
"ACE LAS LLAVES",2.89,1,0,0
"SALSAT. GIRALDA GRANDE",1.88,5,0,0
"SALSA T. GIRALDA PEQ.",1.39,5,0,0
"MARILU",0.38,23,0,0
"ARROZ SANTO MELAO",1.36,11,0,0
"CREMA DE ARROZ AGUA BLANCA",1.01,5,0,0
"LECHE LA CAMPIÑA 200",3.07,10,0,0
"LECHE LA CAMPIÑA 125",2.05,10,0,0
"GALLETA WAFER",0.86,2,0,0
"FOAMI",0.43,5,0,0
"FANTA",0.92,6,0,0
"FRESCOLITA COCACOLA2L",1.68,1,0,0
"CHINOTO COCACOLA2L",1.68,3,0,0
"SUN COLA NEGRA 2L",1.08,11,0,0
"LECHE KALY",2.77,10,0,0
"CHISPITAS DE COLORES",0.9,2,0,0
"CARAOTA",1.31,8,0,0
"PASTA SANDONI",1.17,6,0,0
"JUGO FRUTY",1.35,9,0,0
"CHISKRONCH",0.46,32,0,0
"CHISKESITO GRANDE",0.79,4,0,0
"CHISKESITO",0.67,8,0,0
"FLAQUITO",0.68,12,0,0
"MANÍ CON CHOCOLATE",1.06,12,0,0
"VISTA CRISPY",0.23,24,0,0
"WAFER GUSH DE CHOCOLATE",0.23,24,0,0
"PILAR GALLETA DE CHOCOLATE",0.6,3,0,0
"PILAR WAFER",0.6,6,0,0
"RODRIGO BARRA DE CHOCOLATE",0.2,24,0,0
"JAIMITO QUESO",1.05,1,0,0
"PEPITO TOM",0.88,4,0,0
"CEBOLLA",1.39,10676497,0,0
"CHOCO MANI",0.8,8,0,0
"CHOCO MANI AREQUIPE",0.8,10,0,0
"PALETA FRAMBUESA",2,9,0,0
"COCO AREQUIPE",2,10,0,0
"AVELLANA AVELLANA",2,10,0,0
"PALETA PASIÓN",0.5,10,0,0
"PALETA EXOTIC",0.5,9,0,0
"POLET CRUNCH WHITE",1.5,10,0,0
"TRISABOR",6,10,0,0
"TOMATE",1.39,365657,0,0
"BATATA",1.16,6000,0,0
"ZANAHORIA",1.85,558946,0,0
"PAPA",1.4,6467567,0,0
"AJO",9.71,5794676,0,0
"AJI",1.53,9764549,0,0
"PAN SEMI DULCE",0.18,10,0,0
"SABROSEADOR",0.14,20,0,0
"MANZANILLA",0.18,20,0,0
"ONOTO",0.18,20,0,0
"AJO MIX",0.18,20,0,0
"POLVO DE HORNEAR",0.18,20,0,0
"CLAVITO DE OLOR",0.2,20,0,0
"CANELA",0.18,20,0,0
"COMINO",0.18,20,0,0
"PIMIENTA",0.18,20,0,0
"AJINOMOTO",0.2,20,0,0
"HELADOS DE TETA",0.28,100,0,0
"QUESO",7.56,64648797,0,0
"MORTADELA",7.86,6494979,0,0
"MADAGASCAR",0.35,20,0,0
"KESITO GRANDE",1.05,5,0,0
"JABÓN PURO AVENA",0.55,10,0,0
"SILOCON EN BARRA FINO",0.33,10,0,0
"CEPILLO DENTAL ALIDEN",0.7,3,0,0
"COMPOTA",1.47,10,0,0
"ESCOBA",2.61,10,0,0
"JABÓN DALAN",0.82,6,0,0
"ESPONJA ALMABRE",0.45,10,0,0
"SHAMPOO FLOR DE MANZANA",1.71,2,0,0
"CLORO PEQ OSO BLANCO",0.77,10,0,0
"FANTA 2LTRS",1.68,6,0,0
"CHUPETA",0.18,0,0,0
"JABÓN LAS LLAVES GRANDE",1,0,0,0
"DEDOS COOKIES",0.63,0,0,0
"A.B.C COOKIES",0.63,0,0,0
"CUENTA COOKIES",0.63,0,0,0
"PAPELÓN",0.8,4,0,0
"JERINGA",0.38,0,0,0
"ATÚN LAILA",1.56,0,0,0
"DESODORANTE CLINICAL",0.64,0,0,0
"MAYONESA SOFIA",1.56,0,0,0
"WANITA NOCTURNA",1.49,0,0,0
"BOMBILLO LED NALY",0.76,0,0,0
"AROMAX",0.36,0,0,0
